App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Just She - Top Lesbian Dating,6,1.9,953,19.0,100000,0,0.0,2,12,2018-07-18,6,5.0
Just She - Top Lesbian Dating,6,1.9,953,19.0,100000,0,0.0,2,12,2018-07-18,6,5.0
House party - live chat,6,1.0,1,9.2,10,0,0.0,2,12,2018-07-31,3,4.029999999999999
Just She - Top Lesbian Dating,6,1.9,954,19.0,100000,0,0.0,2,12,2018-07-18,6,5.0
C by GE,17,1.7,686,6.6,10000,0,0.0,0,22,2018-07-11,4,4.3
Speech Therapy: F,10,1.0,1,16.0,10,1,2.99,0,13,2016-10-07,1,2.33
G-Playlists,28,1.8,53,3.4,1000,1,1.49,0,39,2018-05-19,1,4.029999999999999
Q-Tech Companion App,12,1.8,17,3.1,10000,0,0.0,0,18,2017-03-08,1,4.4
W Box VMS,30,1.9,105,9.1,10000,0,0.0,0,42,2017-01-09,4,2.33
Smart-AC Universal Remote Free,10,1.8,3270,1.8,500000,0,0.0,0,15,2015-08-18,1,2.2
AC REMOTE UNIVERSAL-PRO,10,1.6,402,1.7,100000,0,0.0,0,15,2015-12-11,1,2.2
Kenmore Smart AC,17,1.9,71,24.0,5000,0,0.0,0,22,2017-05-08,1,4.4
A/C REFRIGERANT CAPACITY,3,1.7,84,2.1,10000,0,0.0,0,7,2014-10-28,1,4.1
ESS Mobile for AE,24,1.9,63,1.8,5000,0,0.0,0,30,2016-09-27,2,3.0
Clarksburg AH,19,1.0,1,28.0,50,0,0.0,0,24,2017-05-01,300000,4.029999999999999
A&W Restaurants,12,1.7,14,13.0,1000,0,0.0,0,18,2018-06-06,2,4.1
Loreal - BA Makeup,28,1.9,8,6.7,1000,0,0.0,0,39,2018-04-18,1,4.029999999999999
Truck Driving Test Class 3 BC,10,1.0,1,2.0,50,1,1.49,0,13,2012-04-09,1,2.1
BD Provider App,14,1.4,45,13.0,5000,0,0.0,0,19,2016-09-12,1,4.1
BG TV App,10,1.7,6,2.9,100,0,0.0,0,15,2017-12-21,1,4.1
BJ Bridge Standard American 2018,13,1.0,1,4.9,1000,0,0.0,0,8,2018-05-21,6,4.0
MbH BM,19,1.0,1,2.3,100,0,0.0,0,24,2016-12-14,1,4.3
Yuzu eReader,10,1.9,250,0.0,50000,0,0.0,0,13,2018-07-18,0,0.0
Wireless BP,19,1.8,30,0.887,500,0,0.0,0,24,2016-05-27,1,4.3
bp Magazine for Bipolar,17,1.8,5,18.0,1000,0,0.0,1,22,2018-02-12,26,4.1
Pick-a-Paint,17,1.6,242,36.0,50000,0,0.0,0,22,2018-05-14,1,3.0
BR Chat Bot,26,1.9,16,2.6,1000,0,0.0,0,36,2016-06-30,1,4.0
Boston University Alumni,10,1.8,5,5.2,1000,0,0.0,0,13,2017-12-02,4,4.4
Bitcoin BX Thailand PRO,11,1.7,21,21.0,100,1,4.99,0,17,2017-10-22,5,4.029999999999999
CB Mobile Access,11,1.5,57,25.0,1000,0,0.0,0,17,2018-02-26,4,4.2
CB Mobile Biz,11,1.0,3,8.4,500,0,0.0,0,17,2016-02-22,4,4.0
CF Climb,17,1.5,2,3.0,100,0,0.0,0,22,2018-06-07,3,2.3
Thistletown CI,24,1.0,1,6.6,100,0,0.0,0,30,2018-03-15,41,4.1
CJ Fallon eBook Reader,10,1.9,76,14.0,5000,0,0.0,0,13,2014-02-13,2,3.0
CJ DVD Rentals,5,1.0,5,13.0,100,0,0.0,0,11,2017-10-06,1,4.1
Co Checker,28,1.9,12,2.0,1000,0,0.0,0,39,2017-10-20,1,4.3
Co-op Connections,25,1.6,8,18.0,1000,0,0.0,0,34,2018-05-03,1,4.1
